state,district,year,total_population,area_km2,dwellings_total,dwellings_occupied,dwellings_empty,households_total,households_single,household_size_avg,sex_male,sex_female,nationality_citizen,nationality_non_citizen,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,age_0_14,age_15_64,age_65_above,marital_of_age,marital_never_married,marital_married,marital_widowed,marital_separated,marital_unknown,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,religion_unknown,density_urban,density_rural
Selangor,Kuala Langat,2020,307449,855,95799,78151,17648,79890,78928,3.70,161360,146089,290781,16668,205011,53101,31624,1045,72489,215125,19835,224889,68370,136348,5704,3142,11325,210834,5316,47634,31983,7595,2587,1500,266753,40696
Selangor,Kuala Selangor,2020,281711,1187,88913,67125,21788,76447,67109,3.90,144073,137638,268540,13171,219847,21706,26146,841,68021,196511,17179,199560,65392,120567,6831,2950,3820,229543,2960,20938,25844,896,183,1347,217665,64046
Selangor,Petaling,2020,2298130,487,679812,592779,87033,617686,597067,3.80,1221520,1076610,2087298,210832,1096926,762735,211756,15881,495026,1638187,164917,1632195,568734,1000189,31487,31736,49,1227247,175618,625077,222562,26215,21411,0,2298130,0
Selangor,Sabak Bernam,2020,107057,1004,33750,27740,6010,28398,27825,3.70,55806,51251,102784,4273,78721,19824,3987,252,25964,73776,7317,80312,29386,44191,4573,1605,557,81410,663,18579,3941,2080,384,0,43251,63806
Selangor,Sepang,2020,325244,552,127628,94244,33384,99778,95467,3.10,174576,150668,293203,32041,201683,58160,30468,2892,74930,231021,19293,242030,76517,143029,4735,3843,13906,221158,10544,52919,31214,4612,2933,1864,309147,16097
Selangor,Ulu Langat,2020,1400461,833,431574,368988,62586,387547,372782,3.60,741574,658887,1289287,111174,812440,362293,106092,8462,307221,993244,99996,1010422,369614,598149,17087,16803,8769,889562,64196,317630,101610,18939,8091,433,1367615,32846
Selangor,Ulu Selangor,2020,243029,1749,89865,59705,30160,60666,60121,4.00,129325,113704,232416,10613,174029,26336,30889,1162,58220,169152,15657,172616,58483,104696,5050,3038,1349,180094,4505,24754,29507,1241,2781,147,178389,64640
Terengganu,Besut,2020,154168,1234,41340,34610,6730,36345,35650,4.20,78422,75746,151061,3107,149186,1300,97,478,46406,98550,9212,107762,39896,59124,7211,1450,81,152217,236,1544,139,16,2,14,61426,92742
Terengganu,Dungun,2020,158130,2735,42294,36710,5584,39597,37463,4.10,81270,76860,155158,2972,151381,3337,131,309,45724,105241,7165,112406,43872,61791,5260,1254,229,154244,456,3067,194,84,31,54,111788,46342
Terengganu,Kemaman,2020,215582,2536,57733,50551,7182,52932,52361,4.00,113009,102573,208231,7351,199319,7840,749,323,69793,139178,6611,145789,47931,90467,5350,1634,407,205706,631,8031,937,66,50,161,140711,74871
Terengganu,Kuala Terengganu,2020,229781,210,64340,54552,9788,59678,58977,3.80,115850,113931,225894,3887,217835,7202,538,319,59680,152881,17220,170101,66520,89044,11816,2242,479,220678,825,6988,814,102,86,288,210222,19559
Terengganu,Marang,2020,116605,667,33335,27171,6164,27759,27406,4.20,59428,57177,115060,1545,113291,1506,40,223,33978,76014,6613,82627,29726,46861,4796,1096,148,114807,312,1259,79,61,19,68,64268,52337
Terengganu,Hulu Terengganu,2020,69881,3875,20949,17004,3945,16907,16831,4.00,37051,32830,65984,3897,65570,148,12,254,18072,46344,5465,51809,19209,28009,3486,801,304,68776,67,725,79,4,3,227,13653,56228
Terengganu,Setiu,2020,59651,1304,15555,13163,2392,13763,13408,4.40,30345,29306,58313,1338,58130,65,23,95,17442,38513,3696,42209,16044,22852,2770,499,44,59438,54,76,50,23,7,3,0,59651
Terengganu,Kuala Nerus,2020,145642,398,38903,32735,6168,35392,33200,4.10,72490,73152,143337,2305,140867,1768,510,192,38012,100358,7272,107630,47153,54284,4934,1134,125,142898,347,1692,511,65,58,71,135914,9728
Sabah,Tawau,2020,372615,2240,78447,73057,5390,74388,72996,5.00,194340,178275,263527,109088,215516,37151,628,10232,85174,266724,20717,252867,89310,144149,8924,4293,6191,312211,28253,29984,331,242,417,1177,288748,83867
Sabah,Lahad Datu,2020,229138,7444,49549,48007,1542,49147,48489,4.60,121815,107323,146081,83057,130963,10108,394,4616,55982,161865,11291,155732,56690,88842,4795,2105,3300,202382,18379,7471,202,161,37,506,97405,131733
Sabah,Semporna,2020,166587,1145,31553,28350,3203,29042,28957,5.70,85401,81186,102740,63847,100694,1007,79,960,43261,116057,7269,103018,38380,58008,4549,1924,157,161797,2084,663,86,74,1882,1,83337,83250
Sabah,Sandakan,2020,439050,2266,86134,76809,9325,82064,79472,5.30,226049,213001,298024,141026,239009,52863,818,5334,104481,309403,25166,307837,127401,155524,9111,4939,10862,353165,39280,42897,416,832,1105,1355,334374,104676
Sabah,Kinabatangan,2020,143112,6605,32969,31829,1140,32021,31708,4.50,79600,63512,42758,100354,39256,316,91,3095,25877,112733,4502,96953,34294,58551,1984,1148,976,131304,11525,109,127,12,5,30,18642,124470
Sabah,Beluran,2020,77125,5498,23094,19241,3853,19953,19408,3.80,41675,35450,43723,33402,42931,249,41,502,18534,54920,3671,51226,14268,33115,1320,507,2016,63648,12755,140,168,7,400,7,0,77125
Sabah,Kota Kinabalu,2020,500421,351,112750,101734,11016,113507,110145,4.40,256739,243682,413799,86622,330374,77306,2022,4097,131606,336891,31924,362861,131466,213365,8525,5729,3776,304838,148336,41865,1482,928,2779,193,470204,30217
Sabah,Ranau,2020,85077,3608,17807,16787,1020,16441,16260,5.10,44006,41071,79650,5427,78677,751,36,186,26922,52078,6077,61435,25096,33680,1734,538,387,38567,45666,717,72,17,27,11,21262,63815
Sabah,Kota Belud,2020,107243,1386,21393,19938,1455,20823,20751,5.10,53945,53298,103170,4073,100909,1804,78,379,32148,68720,6375,75205,28690,42292,3159,1064,0,69752,36700,454,137,17,183,0,22395,84848
Sabah,Tuaran,2020,135665,1166,34254,29105,5149,29281,29142,4.60,68892,66773,128188,7477,124083,3035,159,911,41546,86121,7998,95739,33665,55985,4108,1717,264,84285,49119,2030,118,58,49,6,60761,74904
Sabah,Penampang,2020,162174,425,44577,40202,4375,41400,41028,3.70,85808,76366,143842,18332,108532,33104,517,1689,42572,108609,10993,123027,44345,72761,3059,2279,583,53607,83339,23294,284,661,979,10,147589,14585
Sabah,Papar,2020,150667,1243,35354,30508,4846,31066,30615,4.80,78791,71876,138188,12479,131565,5543,160,920,51488,92172,7007,113661,49266,58239,3282,1439,1435,105614,40381,4330,89,117,115,21,85964,64703
Sabah,Kudat,2020,86410,1287,19795,17504,2291,18023,17824,4.70,43921,42489,78373,8037,73387,4701,39,246,23857,56944,5609,58115,21373,32606,2332,894,910,50087,32042,3605,93,160,354,69,36915,49495
Sabah,Kota Marudu,2020,69528,1917,18876,15784,3092,16299,16248,4.30,35733,33795,66697,2831,64887,1443,44,323,21687,43160,4681,46670,14648,28731,2257,1030,4,27363,40559,670,95,91,750,0,15218,54310
Sabah,Pitas,2020,36660,1419,10419,8670,1749,8715,8705,4.20,18926,17734,34802,1858,34372,280,16,134,10617,23526,2517,25084,8748,14517,1332,487,0,21984,13765,115,110,148,538,0,0,36660
Sabah,Beaufort,2020,75716,1735,17906,14969,2937,16504,16401,4.60,38757,36959,69713,6003,64868,4196,114,535,25429,46035,4252,55310,19666,32552,2403,681,8,60739,10464,4070,165,68,208,2,17927,57789
Sabah,Kuala Penyu,2020,23710,453,6204,5268,936,5333,5276,4.40,11863,11847,22637,1073,22187,266,15,169,8202,14285,1223,16880,5599,10103,733,253,192,15256,7937,492,6,9,6,4,0,23710
Sabah,Sipitang,2020,37828,2732,9007,7899,1108,8226,8111,4.60,19671,18157,33729,4099,32951,569,44,165,12348,23380,2100,26266,8832,15984,811,342,297,26785,10543,442,18,3,5,32,16524,21304
Sabah,Tenom,2020,51328,2409,12559,11078,1481,10917,10821,4.70,26375,24953,48881,2447,46886,1749,23,223,15857,32079,3392,36328,14117,20355,1224,394,238,13678,36144,1410,20,25,47,4,0,51328
Sabah,Nabawan,2020,28349,6089,6076,4938,1138,5310,5306,5.30,15078,13271,27175,1174,27056,70,3,46,8857,17974,1518,20350,9187,10557,428,162,16,7471,20768,22,76, . ,12,0,0,28349
Sabah,Keningau,2020,150927,3533,37110,34209,2901,34540,34403,4.40,77952,72975,132862,18065,124216,7247,147,1252,43560,97826,9541,103113,35221,63180,3251,1373,88,64706,79581,5895,451,51,236,7,61016,89911
Sabah,Tambunan,2020,31573,1347,7311,7021,290,7215,7188,4.40,16058,15515,30219,1354,29982,181,7,49,10085,19251,2237,21078,7256,12388,1065,369,0,6236,25181,75,46,1,34,0,0,31573
Sabah,Kunak,2020,68893,1134,13373,11090,2283,11885,11719,5.80,37200,31693,34228,34665,31496,614,79,2039,15824,50237,2832,43797,17797,23621,1511,621,247,66126,2350,350,33,30,4,0,21957,46936
Sabah,Tongod,2020,42742,10054,11231,9838,1393,10380,10366,4.10,23126,19616,26463,16279,26176,194,22,71,10766,29679,2297,27511,8116,18416,722,240,17,22663,19740,164,148,8,19,0,0,42742
Sabah,Putatan,2020,68811,40,17470,15116,2354,15870,15783,4.30,35590,33221,63490,5321,58188,3955,294,1053,23727,41580,3504,50483,18981,29006,1500,985,11,54835,11866,1893,86,51,80,0,68811,0
Sabah,Telupid,2020,29241,2210,8935,7859,1076,7827,7801,3.70,15992,13249,17833,11408,17037,145,87,564,6860,20960,1421,20200,8314,11281,354,235,16,15754,13383,54,23, . ,27,0,0,29241
Sabah,Kalabakan,2020,48195,3885,12870,11435,1435,12024,11380,4.00,26503,21692,17550,30645,17273,73,5,199,9867,36512,1816,32711,9510,20353,919,359,1570,44363,3594,30,66,1,2,139,0,48195
Sarawak,Kuching,2020,609205,1498,180026,136292,43734,142732,140416,4.30,307666,301539,599228,9977,376481,218716,2562,1469,133423,426714,49068,475782,187367,256341,19738,10819,1517,247593,199223,149807,1644,2426,6994,1518,558113,51092
Sarawak,Bau,2020,52643,884,15187,11176,4011,11279,11180,4.70,27339,25304,51525,1118,42666,8654,93,112,10647,37133,4863,41996,16948,21947,2283,744,74,6234,38422,7219,14,353,327,74,0,52643
Sarawak,Lundu,2020,33479,1812,11478,8532,2946,8791,8758,3.80,17956,15523,30815,2664,27502,3166,25,122,7887,22800,2792,25592,8756,14924,1359,553,0,13423,16651,2607,18,537,243,0,0,33479
Sarawak,Samarahan,2020,128284,407,42499,28007,14492,37080,29489,3.70,62212,66072,126866,1418,102875,23010,697,284,28094,94798,5392,100190,46345,49374,2952,1519,0,63679,46621,16611,504,363,506,0,106650,21634
Sarawak,Serian,2020,85345,1749,29766,21656,8110,21663,21643,3.90,43818,41527,83712,1633,69080,14412,124,96,18187,58512,8646,67158,21271,40434,4280,1173,0,13619,58786,12171,60,641,68,0,20531,64814
Sarawak,Simunjan,2020,36211,2218,11972,9052,2920,8972,8945,4.00,19077,17134,34012,2199,32862,892,4,254,8123,24430,3658,28088,9746,16375,1398,569,0,22283,13108,610,12,126,72,0,0,36211
Sarawak,Sri Aman,2020,61238,2324,17871,13405,4466,13306,13262,4.60,31710,29528,59876,1362,52493,7251,26,106,12774,41153,7311,48464,18989,25444,2987,1044,0,16407,38675,5381,26,112,637,0,27692,33546
Sarawak,Lubok Antu,2020,24573,3143,8309,6734,1575,6478,6470,3.80,12490,12083,23866,707,22428,1393,10,35,4653,16609,3311,19920,5575,12445,1489,411,0,1512,21632,1088,5,118,218,0,0,24573
Sarawak,Betong,2020,36303,1547,12132,8777,3355,8873,8781,4.10,18874,17429,35956,347,34596,1318,8,34,7452,25017,3834,28851,11479,15134,1758,480,0,15591,19654,907,7,55,89,0,0,36303
Sarawak,Saratok,2020,23105,888,7594,5545,2049,5478,5459,4.20,11383,11722,22862,243,21655,1178,6,23,4207,16708,2190,18898,7383,10359,777,379,0,6771,15065,1115,3,40,111,0,0,23105
Sarawak,Sarikei,2020,44039,985,16794,11624,5170,11825,11594,3.80,22121,21918,43546,493,26539,16904,31,72,9832,30147,4060,34207,11058,20376,1829,744,200,11531,20070,8317,16,157,3748,200,26018,18021
Sarawak,Maradong,2020,20299,719,7610,5148,2462,5138,5101,3.90,10127,10172,19884,415,12398,7407,3,76,4940,13566,1793,15359,4950,9091,869,375,74,4552,11357,2282,2,211,1821,74,7662,12637
Sarawak,Daro,2020,19477,1226,5980,4904,1076,5236,5220,3.70,10528,8949,17282,2195,16970,249,4,59,5013,13091,1373,14464,5904,7566,688,306,0,17495,1807,124,3,42,6,0,0,19477
Sarawak,Julau,2020,15333,1703,5487,3888,1599,3855,3850,4.00,7613,7720,15313,20,14882,412,2,17,3497,10196,1640,11836,3000,7574,915,347,0,343,14164,193,0,196,437,0,0,15333
Sarawak,Sibu,2020,248064,2230,84867,62358,22509,66409,63479,3.80,127822,120242,234837,13227,119472,114477,248,640,51862,176042,20160,196202,66288,110833,9724,4076,5281,50017,149067,34328,212,864,8293,5283,209898,38166
Sarawak,Dalat,2020,21147,905,5901,4891,1010,5551,5545,3.80,10932,10215,18328,2819,17182,1130,4,12,4771,14266,2110,16376,5823,9199,1058,296,0,12363,6745,520,2,23,1494,0,0,21147
Sarawak,Mukah,2020,42275,2536,14573,11221,3352,11938,11527,3.50,22424,19851,37737,4538,34486,3140,28,83,9719,29872,2684,32556,11721,18954,1426,455,0,19930,17566,1708,58,1216,1797,0,17025,25250
Sarawak,Kanowit,2020,24700,2254,9744,6790,2954,6720,6710,3.70,12349,12351,24233,467,22057,2141,4,31,5800,16055,2845,18900,5303,11499,1599,499,0,1765,20955,1465,16,32,467,0,0,24700
Sarawak,Bintulu,2020,178646,1991,46979,41223,5756,42791,41713,4.20,96710,81936,162640,16006,128476,33326,287,551,43090,129854,5702,135556,49805,78928,3046,2105,1672,58255,104771,11742,347,723,1136,1672,153125,25521
Sarawak,Tatau,2020,31920,4946,8010,7371,639,7381,7277,4.30,17542,14378,28455,3465,26954,1327,13,161,7763,22509,1648,24157,7858,14848,838,316,297,5960,24764,660,7,148,84,297,0,31920
Sarawak,Kapit,2020,36030,3973,11771,8790,2981,8959,8949,4.00,18134,17896,35643,387,33110,2482,24,27,9442,23872,2716,26588,8158,16197,1489,744,0,2351,32269,1266,10,116,18,0,15234,20796
Sarawak,Song,2020,9961,3935,4876,3008,1868,2942,2939,3.40,4878,5083,9935,26,9392,536,1,6,2492,6237,1232,7469,1770,5008,556,135,0,690,7899,236,2,1010,124,0,0,9961
Sarawak,Belaga,2020,22502,19050,8324,6024,2300,6808,6177,3.50,12958,9544,19511,2991,19025,350,8,128,4635,17227,640,17867,6615,10020,384,191,657,2294,19394,125,5,10,17,657,0,22502
Sarawak,Miri,2020,248877,5143,81646,60945,20701,62093,61679,3.90,130545,118332,236227,12650,161098,73693,699,737,49853,183430,15594,199024,76901,107318,7579,3917,3309,70749,127372,43923,353,743,2423,3314,233945,14932
Sarawak,Marudi,2020,18838,3079,6967,5075,1892,5408,5393,3.50,10089,8749,16477,2361,14286,2001,13,177,4176,13297,1365,14662,5103,8850,472,237,0,4999,12204,1461,8,79,87,0,0,18838
Sarawak,Limbang,2020,45061,3978,13849,10374,3475,11069,11056,4.10,23191,21870,43856,1205,38603,5114,34,105,11566,30344,3151,33495,11234,19462,1960,839,0,20256,21041,3024,21,374,345,0,23371,21690
Sarawak,Lawas,2020,36604,3812,9902,7823,2079,8632,8606,4.20,18724,17880,34790,1814,32228,2385,24,153,9774,24067,2763,26830,9527,15696,1186,421,0,19773,15389,1379,21,24,18,0,0,36604
Sarawak,Matu,2020,16316,1600,6684,5052,1632,5536,5530,2.90,8842,7474,13982,2334,13594,333,0,55,3463,11460,1393,12853,5001,6976,686,190,0,12345,3685,174,0,17,95,0,0,16316
Sarawak,Asajaya,2020,33606,303,7577,6395,1182,8065,8057,4.20,17141,16465,33319,287,31770,1533,5,11,8423,21974,3209,25183,8863,14346,1498,476,0,29688,2680,1197,1,36,4,0,0,33606
Sarawak,Pakan,2020,15462,925,4502,3460,1042,3377,3374,4.60,8160,7302,15405,57,15168,199,0,38,3481,10596,1385,11981,4244,6702,713,322,0,204,13654,62,0,164,1378,0,0,15462
Sarawak,Selangau,2020,19844,3795,7601,5897,1704,5746,5738,3.40,10235,9609,18643,1201,18163,451,3,26,4185,13787,1872,15659,4491,9688,916,564,0,1419,15510,50,1,379,2485,0,0,19844
Sarawak,Tebedu,2020,25232,656,6532,5070,1462,5649,5645,4.50,12807,12425,24852,380,24356,445,30,21,5456,17536,2240,19776,6874,11447,1144,311,0,1667,23488,74,0,2,1,0,0,25232
Sarawak,Pusa,2020,19557,947,5393,4394,999,4605,4504,4.30,10054,9503,18856,701,18675,163,2,16,6140,11966,1451,13417,4130,8128,905,254,0,18403,1011,117,3,8,15,0,0,19557
Sarawak,Kabong,2020,18404,799,5521,4188,1333,4234,4223,4.40,9265,9139,18293,111,17473,800,0,20,3978,12513,1913,14426,5019,8147,1028,232,0,9344,7764,577,1,72,646,0,0,18404
Sarawak,Tanjung Manis,2020,7946,731,3814,2263,1551,2539,2536,3.10,4219,3727,7323,623,7201,109,1,12,1749,5535,662,6197,2231,3518,342,106,0,6317,1241,47,2,122,217,0,0,7946
Sarawak,Sebauh,2020,29606,5229,10331,9384,947,9363,9347,3.20,16764,12842,20687,8919,19916,690,10,71,5375,23305,926,24231,7208,16313,487,223,0,10606,18653,194,8,111,34,0,0,29606
Sarawak,Bukit Mabong,2020,10155,11976,4541,3940,601,3677,3671,2.80,6203,3952,9447,708,9261,168,4,14,2245,6952,958,7910,2435,4864,434,177,0,660,9239,100,6,12,138,0,0,10155
Sarawak,Subis,2020,57289,3821,20236,16128,4108,16490,15925,3.40,31897,25392,42630,14659,40242,1969,24,395,11386,42551,3352,45903,14443,26074,2000,569,2817,26089,25283,1494,20,1172,411,2820,0,57289
Sarawak,Beluru,2020,28695,4905,9908,6424,3484,7284,6744,4.20,15433,13262,20277,8418,19693,488,19,77,6562,20351,1782,22133,6405,13675,870,521,662,10972,15855,250,3,568,385,662,0,28695
Sarawak,Telang Usan,2020,17406,9829,6308,3708,2600,4136,4130,4.20,9329,8077,17271,135,17051,210,2,8,4069,12269,1068,13337,4833,7848,500,156,0,406,16919,74,0,7,0,0,0,17406
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2020,1982112,243,634639,542210,92429,573529,562225,3.30,1058906,923206,1773666,208446,846339,737161,178099,12067,395822,1455903,130387,1530310,467509,891276,45630,25037,100858,897637,127695,639619,162926,35045,18308,100882,1982112,0
W.P. Labuan,W.P. Labuan,2020,95120,92,22879,18082,4797,23961,23658,3.90,48890,46230,84288,10832,72671,9843,891,883,26013,65111,3996,69107,24798,40115,2651,1543,0,73460,13118,7676,612,188,66,0,84605,10515
W.P. Putrajaya,W.P. Putrajaya,2020,109202,49,38056,28773,9283,29699,29398,3.70,53574,55628,106381,2821,104144,670,1303,264,41460,66207,1535,67742,18587,45588,1365,1481,721,106132,880,533,1152,98,69,338,109202,0
